SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DICER1,A1BG,0.12253578809221687,0.0006141925113892236,3.2116954830446334
DICER1,A1CF,-0.10701362959304835,0.0028018472915305606,2.5525555386622747
DICER1,A2M,-0.004278818963775375,0.9051515628982807,0.04327869436471478
DICER1,A2ML1,0.023904042706191744,0.5055579845426752,0.2962290261803407
DICER1,A3GALT2,0.02389754699254782,0.5056736808965587,0.29612964976640027
DICER1,A4GALT,0.05900361000563157,0.10006184092959527,0.9997315112646211
DICER1,A4GNT,0.0986133463087035,0.005907398723389703,2.228603715188615
DICER1,AAAS,-0.006745336176641155,0.8509982108273236,0.07007135299254179
DICER1,AACS,0.006982073082176521,0.8458331185262844,0.07271531409143098
DICER1,AADAC,0.12950507448428397,0.00029268038698481623,3.5336063794099335
DICER1,AADACL2,0.040775905579368096,0.2559599613001824,0.5918279641660129
DICER1,AADACL3,0.03170014662741444,0.3772355281892533,0.42338741198472385
DICER1,AADACL4,0.031509470341920316,0.3801133417331692,0.4200868866731231
DICER1,AADAT,0.030889885863591714,0.3895571231532038,0.40942885005498053
DICER1,AAED1,-0.021136922759309302,0.5560741860721106,0.2548672651580359
DICER1,AAGAB,-0.04937603353275918,0.1688670410628916,0.77245510638692
DICER1,AAK1,-0.07663549583457784,0.032575711209332406,1.4871060937760294
DICER1,AAMDC,-0.033422573912176005,0.351850779394884,0.45364148261719556
DICER1,AAMP,0.09814705204133713,0.006147710935418669,2.2112865611631767
DICER1,AANAT,0.019732774692907906,0.5826157517063072,0.2346177778843671
DICER1,AAR2,0.02260682734784381,0.5289360671102841,0.27659681828462235
DICER1,AARD,0.017925592846341983,0.6176184192600247,0.2092797604966316
DICER1,AARS,-0.05888902570551892,0.10072382135017151,0.9968678059362246
DICER1,AARS2,-0.0023553814479860937,0.9477024269679178,0.023328007190504787
DICER1,AARSD1,0.051194935660568625,0.1536946246759864,0.8133413212730595
DICER1,AASDH,-0.08697585467467672,0.015237415448854779,1.8170886912306699
DICER1,AASDHPPT,-0.01873090387547398,0.6019068733718529,0.22047069729587138
DICER1,AASS,0.03200364291649689,0.3726826997166538,0.42866076713878143
DICER1,AATF,-0.026667998528605814,0.45761652846635126,0.33949829782496344
DICER1,AATK,-0.05092027676992999,0.1559169639395614,0.8071066305164782
DICER1,ABAT,-0.0368907797410992,0.30410178490217626,0.5169810307901297
DICER1,ABCA1,0.041035613842792626,0.2529417485679654,0.5969794835210823
DICER1,ABCA10,-0.04482926370073143,0.21165611556865097,0.6743691785514263
DICER1,ABCA12,-0.012433566518047444,0.7291466489420448,0.13718511582304102
DICER1,ABCA13,-0.07954177534107541,0.026515325951513746,1.5765030297532747
DICER1,ABCA2,-0.05716403451477438,0.11111629185055608,0.95422226021242
DICER1,ABCA3,0.04631577316651898,0.1968822713128414,0.7057933890810371
DICER1,ABCA4,0.03207919007449898,0.37155469996050783,0.4299772407398468
DICER1,ABCA5,-0.004067672586119581,0.9098115730563189,0.04104854312429717
DICER1,ABCA6,0.013604647388741026,0.7047791438877773,0.15194695622550689
DICER1,ABCA7,0.0169276684792805,0.6373321515985912,0.19563417204321093
DICER1,ABCA8,0.0425552708934178,0.23577716763056727,0.6274982537454383
DICER1,ABCA9,0.0511741362290739,0.1538620727706058,0.8128684212108102
DICER1,ABCB1,0.023642471443093872,0.5102278545361354,0.2922358359239359
DICER1,ABCB10,-0.008906475842082687,0.8041106468555344,0.0946841875543575
DICER1,ABCB11,0.013583873603908576,0.705208861747048,0.15168223893700683
DICER1,ABCB4,0.0675771296762007,0.05956109793803741,1.2250373051435652
