"gene"	"gene_cor"	"DIS3L2_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"DIS3L2"	1	Inf	"DIS3L2"	"chr2"	232019063.75	2
"TUT7"	0.228594373275415	10.3130790482733	"DIS3L2"	"chr9"	86349557	9
"HADHA"	0.219698503447097	9.56169190800933	"DIS3L2"	"chr2"	26226968	2
"ZNFX1"	0.217331308918801	9.36706106163265	"DIS3L2"	"chr20"	49266910.75	20
"PHACTR3"	-0.197252558312922	7.80459997595942	"DIS3L2"	"chr20"	59773597.25	20
"FKBP3"	0.197009600296164	7.78665160373197	"DIS3L2"	"chr14"	45132863.6666667	14
"RAP1B"	0.194938591902952	7.63457672397086	"DIS3L2"	"chr12"	68652716	12
"EOMES"	0.193131821192736	7.5032466776492	"DIS3L2"	"chr3"	27719126.25	3
"HMGXB3"	0.194102026504314	7.47046735264363	"DIS3L2"	"chr5"	150023274.5	5
"IFNAR2"	-0.188733219926131	7.18872902408005	"DIS3L2"	"chr21"	33245138.5	21
"SPEM1"	0.187544312460064	7.1049801149076	"DIS3L2"	"chr17"	7420778	17
"SNCAIP"	0.187524816439286	7.10361124440531	"DIS3L2"	"chr5"	122447768.75	5
"CDKN1A"	-0.18751296206077	7.10277898553392	"DIS3L2"	"chr6"	36684208.25	6
"PIMREG"	0.187399527252675	6.99859816332799	"DIS3L2"	"chr17"	6445758.25	17
"HIST1H3C"	0.185651146057245	6.97272707629748	"DIS3L2"	"chr6"	26045528.75	6
"PPP2R5C"	0.185373566652834	6.95344985426878	"DIS3L2"	"chr14"	101846432.75	14
"SPERT"	-0.184294386791726	6.87877988592467	"DIS3L2"	"chr13"	45710962.5	13
"JUN"	0.181635120916464	6.69665524223447	"DIS3L2"	"chr1"	58782853.25	1
"SFTA2"	0.1809491780872	6.65010878017683	"DIS3L2"	"chr6"	30932064	6
"PDCL3"	0.179355634896974	6.54265632364957	"DIS3L2"	"chr2"	100567351.75	2
"HNRNPUL2"	0.178229817805269	6.46731616591538	"DIS3L2"	"chr11"	62726146.25	11
"COQ2"	-0.174676390089224	6.23262536127836	"DIS3L2"	"chr4"	83284672.25	4
"PNRC2"	0.173352852389191	6.14641302739961	"DIS3L2"	"chr1"	23961534.5	1
"RUSC2"	-0.173210341710143	6.13716902547765	"DIS3L2"	"chr9"	35547159.75	9
"DDX5"	0.174453612838687	6.13449549304313	"DIS3L2"	"chr17"	64504664.5	17
"PPHLN1"	0.172654357239493	6.10117702027973	"DIS3L2"	"chr12"	42365280	12
"BCL2L11"	0.169459698065049	5.89658959456336	"DIS3L2"	"chr2"	111123821	2
"DEC1"	0.168850876329847	5.85802871360928	"DIS3L2"	"chr9"	115400418	9
"MRPL37"	-0.166923235598287	5.7368399687097	"DIS3L2"	"chr1"	54201620.75	1
"TCTN1"	0.166433584952438	5.70627421176577	"DIS3L2"	"chr12"	110617095.25	12
"TMEM94"	0.166141244721952	5.68806734642549	"DIS3L2"	"chr17"	75489670.75	17
"CCDC65"	0.166110027292714	5.68612499179562	"DIS3L2"	"chr12"	48909600	12
"ERAP1"	0.165798511509605	5.6667620506067	"DIS3L2"	"chr5"	96802866.5	5
"C3orf38"	0.165609676229431	5.65504195265879	"DIS3L2"	"chr3"	88152542.5	3
"STX7"	0.165090086687074	5.62286116502845	"DIS3L2"	"chr6"	132479723.25	6
"BTG1"	0.164890127263436	5.61050310182171	"DIS3L2"	"chr12"	92144915.75	12
"TIAL1"	0.164884646732622	5.61016459610685	"DIS3L2"	"chr10"	119584866.75	10
"TRIT1"	-0.164197260988534	5.56779553762681	"DIS3L2"	"chr1"	39860926.25	1
"NHEJ1"	0.163948434855151	5.55250113880632	"DIS3L2"	"chr2"	219158122.5	2
"SMIM8"	0.163755196339777	5.54063916381555	"DIS3L2"	"chr6"	87337085.5	6
"MRPS30"	-0.1633906445989	5.51829837328968	"DIS3L2"	"chr5"	44809149.5	5
"QRICH1"	0.162409894997092	5.45843685912283	"DIS3L2"	"chr3"	49072068	3
"TUBA1C"	0.161971840212129	5.43181328088604	"DIS3L2"	"chr12"	49270503	12
"MAST1"	0.161571279332008	5.40752989091408	"DIS3L2"	"chr19"	12849986	19
"TMEM19"	0.161350719077725	5.39418380281148	"DIS3L2"	"chr12"	71693312.5	12
"NREP"	0.161312402738038	5.3918670957977	"DIS3L2"	"chr5"	111733241.5	5
"RPRML"	0.161081344706315	5.37790808774739	"DIS3L2"	"chr17"	46978886.5	17
"MRPS11"	-0.160567203678287	5.34691703221085	"DIS3L2"	"chr15"	88469653.5	15
"FGD4"	0.160447110098858	5.33969201414098	"DIS3L2"	"chr12"	32590877.6666667	12
"UBE2D2"	0.16042309322995	5.33824775325317	"DIS3L2"	"chr5"	139614669.5	5
"DCP2"	0.160086214682702	5.3180116527219	"DIS3L2"	"chr5"	112983114	5
"CPT2"	-0.159374922676195	5.27542071007579	"DIS3L2"	"chr1"	53206934.5	1
"SNX25"	0.159353129992572	5.27411871356821	"DIS3L2"	"chr4"	185290121.5	4
"MSN"	0.160742347755707	5.24468366598852	"DIS3L2"	"chrX"	65730883.75	24
"MAT2B"	0.158600185258344	5.2292405374738	"DIS3L2"	"chr5"	163510346.5	5
"FAM184B"	-0.158595533780469	5.22896393454274	"DIS3L2"	"chr4"	17708253.75	4
"FAIM2"	0.158000413390411	5.19363969372115	"DIS3L2"	"chr12"	49897118.75	12
"RSAD1"	0.157973411189658	5.19203999457825	"DIS3L2"	"chr17"	50480156	17
