"gene"	"gene_cor"	"DICER1_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"DICER1"	"1"	Inf	"DICER1"	"chr14"	95119894.75	14
"XPO5"	"0.503616844324774"	52.454480181958	"DICER1"	"chr6"	43568439.25	6
"DROSHA"	"0.337923509533472"	22.3064554822975	"DICER1"	"chr5"	31526452.5	5
"AGO2"	"0.32959647256171"	21.2010221084193	"DICER1"	"chr8"	140559591.75	8
"ANKRD52"	"0.298301130745434"	17.3422926225009	"DICER1"	"chr12"	56255045.25	12
"DGCR8"	"0.281137304191162"	15.4169583095877	"DICER1"	"chr22"	20086586	22
"DOLK"	"0.243667755118049"	11.6592473378165	"DICER1"	"chr9"	128947065.75	9
"MNAT1"	"0.210099516060003"	8.66542917196655	"DICER1"	"chr14"	60765573.5	14
"MAP4K4"	"-0.208073683366391"	8.62712434175128	"DICER1"	"chr2"	101799426	2
"RBSN"	"0.207383078277371"	8.57327288106017	"DICER1"	"chr3"	15092617.25	3
"MED24"	"0.200485366534275"	7.93559783465012	"DICER1"	"chr17"	40036876.5	17
"TNRC6B"	"0.193201526247703"	7.50829023305338	"DICER1"	"chr22"	40267929.5	22
"WASHC5"	"0.190909552079002"	7.34342471293772	"DICER1"	"chr8"	125074727.25	8
"TNRC6A"	"0.184963063856126"	6.92499477497917	"DICER1"	"chr16"	24780435.25	16
"EMC1"	"0.181865547964694"	6.71233114762545	"DICER1"	"chr1"	19242148.25	1
"PTEN"	"-0.177146688111116"	6.39528012620062	"DICER1"	"chr10"	87937365	10
"OSGEP"	"0.176092422341405"	6.32558453787119	"DICER1"	"chr14"	20452856.5	14
"NKX6-3"	"-0.175470124388107"	6.28464013201749	"DICER1"	"chr8"	41647128.75	8
"MMD"	"0.173426294425713"	6.15117981513423	"DICER1"	"chr17"	55413755	17
"DPAGT1"	"0.173394441559977"	6.14911214476425	"DICER1"	"chr11"	119100922.75	11
"ACTR10"	"0.172083929483764"	6.06436925715061	"DICER1"	"chr14"	58206572.25	14
"CHMP4B"	"0.169720183562696"	5.91312976823998	"DICER1"	"chr20"	33830108	20
"TAOK1"	"-0.168312207467686"	5.82402520721366	"DICER1"	"chr17"	29478891.75	17
"ZMAT4"	"-0.166906043315831"	5.73576526938864	"DICER1"	"chr8"	40796648.5	8
"MED15"	"0.166242959489115"	5.61835187108496	"DICER1"	"chr22"	20556410.5	22
"GTF2F1"	"-0.165299359131675"	5.56060443487364	"DICER1"	"chr19"	6388105.75	19
"ITPKA"	"-0.163871543350271"	5.54777950219383	"DICER1"	"chr15"	41496122.25	15
"BIRC6"	"-0.163659941542925"	5.53479697164779	"DICER1"	"chr2"	32403828	2
"SERPINB9"	"0.163057146015165"	5.49790326446867	"DICER1"	"chr6"	2896538.25	6
"MLST8"	"0.162583742178118"	5.46902220037994	"DICER1"	"chr16"	2206355.25	16
"MPV17L2"	"-0.160757005533269"	5.35834654486113	"DICER1"	"chr19"	18193328	19
"ANP32E"	"-0.161431963653902"	5.32728466739341	"DICER1"	"chr1"	150234753.5	1
"MED23"	"0.161164361581406"	5.31133967473482	"DICER1"	"chr6"	131605797.75	6
"EMSY"	"0.160678763208153"	5.28247121364554	"DICER1"	"chr11"	76450158.5	11
"ADAMTS13"	"0.159258599108374"	5.26847300139952	"DICER1"	"chr9"	133433780	9
"PPP2R3C"	"0.158438322975654"	5.21961993082289	"DICER1"	"chr14"	35113433	14
"ERMARD"	"0.157986433656779"	5.19281145523331	"DICER1"	"chr6"	169764298	6
"C15orf41"	"0.157791448900016"	5.18126686493053	"DICER1"	"chr15"	36683271	15
"RBM5"	"-0.157607918413882"	5.1704130858867	"DICER1"	"chr3"	50096342.75	3
"EXOC5"	"0.157523763027227"	5.16544032939553	"DICER1"	"chr14"	57243171.25	14
"CINP"	"0.157511366786774"	5.16470805092295	"DICER1"	"chr14"	102360247.75	14
"NRDE2"	"0.15717916937868"	5.14510507993196	"DICER1"	"chr14"	90306786.25	14
"MYLPF"	"-0.157077250994388"	5.13909891396819	"DICER1"	"chr16"	30376099.25	16
"DAXX"	"0.157682440666361"	5.10621515758381	"DICER1"	"chr6"	33321216	6
"ALG1"	"0.156018401324048"	5.07692285352959	"DICER1"	"chr16"	5073728.75	16
"ACTB"	"-0.157004822829637"	5.0668009864579	"DICER1"	"chr7"	5529133.75	7
"GTF2H5"	"0.155357771882115"	5.03833650744171	"DICER1"	"chr6"	158186644.25	6
"RHOA"	"0.155230233944563"	5.03090543338709	"DICER1"	"chr3"	49373748.25	3
"HNRNPUL2"	"-0.154972192369255"	5.01588851248185	"DICER1"	"chr11"	62726146.25	11
"VSIG2"	"0.154812836485457"	5.00662672600331	"DICER1"	"chr11"	124750543.75	11
"COMMD3"	"0.154096183522429"	4.96508840405263	"DICER1"	"chr10"	22317151.2	10
"SMAD6"	"-0.153895049725528"	4.95346377718471	"DICER1"	"chr15"	66729048.25	15
"CDC37"	"-0.153334053551342"	4.92111803618927	"DICER1"	"chr19"	10397776.25	19
"OR8H3"	"-0.153132384945577"	4.90951808973585	"DICER1"	"chr11"	56122546.75	11
"MET"	"0.15279090035188"	4.88990945585391	"DICER1"	"chr7"	116707705.25	7
"DUPD1"	"-0.152068355283903"	4.84855847576455	"DICER1"	"chr10"	75051189.75	10
"RPP21"	"0.151999215297938"	4.84461149786117	"DICER1"	"chr6"	30345317.25	6
"ZNF33B"	"-0.151762330965914"	4.83110161347183	"DICER1"	"chr10"	42622550.5	10
"SFRP1"	"-0.151654005077291"	4.82493036189321	"DICER1"	"chr8"	41308963.75	8
"EMC2"	"0.151313680143451"	4.80556980923811	"DICER1"	"chr8"	108460832.5	8
"VPS45"	"0.151273836056337"	4.80330587158213	"DICER1"	"chr1"	150075401.75	1
"ASPM"	"-0.150801362693914"	4.77650358465915	"DICER1"	"chr1"	197132920.5	1
"TAF10"	"0.151706228314669"	4.76425504183813	"DICER1"	"chr11"	6611999.5	11
"CDH12"	"0.149781114941858"	4.7189015485449	"DICER1"	"chr5"	22026920.75	5
"SMPDL3A"	"0.149532605144965"	4.7049276859315	"DICER1"	"chr6"	122800851.75	6
"DAD1"	"0.149422959320329"	4.69876929203075	"DICER1"	"chr14"	22589063.5	14
"NSA2"	"-0.14919827128925"	4.6861629112847	"DICER1"	"chr5"	74769477	5
"UBA6"	"-0.149042411504037"	4.67742887636772	"DICER1"	"chr4"	67681375.75	4
"FAM193B"	"-0.148665058421504"	4.6563189937274	"DICER1"	"chr5"	177542327.25	5
"TTC8"	"0.148514442223659"	4.64790750346934	"DICER1"	"chr14"	88840962.25	14
"ALG10B"	"-0.147762102892233"	4.60601338839852	"DICER1"	"chr12"	38318537.6666667	12
"FOXA1"	"-0.14744516192767"	4.58842527580248	"DICER1"	"chr14"	37592490.5	14
"THAP5"	"0.147297906980202"	4.58026586072581	"DICER1"	"chr7"	108565615.25	7
"MAP3K11"	"-0.147110729429958"	4.56990554759965	"DICER1"	"chr11"	65611826.25	11
"ZMYND8"	"0.147625563351703"	4.53805076448096	"DICER1"	"chr20"	47292172.75	20
"TRIM22"	"0.147006015931287"	4.50422217756388	"DICER1"	"chr11"	5696720	11
"WDFY4"	"-0.1457764253073"	4.49641510302765	"DICER1"	"chr10"	48743436.25	10
"MED16"	"0.146589144804912"	4.48153635694735	"DICER1"	"chr19"	889973.25	19
"COL1A1"	"-0.145146473397218"	4.46194014646825	"DICER1"	"chr17"	50195578.25	17
"RPS6KB1"	"0.144759798107286"	4.44084907619384	"DICER1"	"chr17"	59916007.75	17
"XRN1"	"0.144653855890462"	4.43507981611273	"DICER1"	"chr3"	142429822.5	3
"SCFD1"	"0.14427777094628"	4.41463184973895	"DICER1"	"chr14"	30671061.5	14
"MCRIP1"	"0.143912497170238"	4.39482002285362	"DICER1"	"chr17"	81824366.25	17
"HMBOX1"	"-0.143768194111968"	4.38700638921714	"DICER1"	"chr8"	28975209.25	8
"ARIH1"	"-0.143747027642374"	4.38586090485221	"DICER1"	"chr15"	72474895	15
"TSGA10"	"-0.143631473280349"	4.3796101656823	"DICER1"	"chr2"	99097962	2
"MANEA"	"0.143378613934545"	4.36594873001574	"DICER1"	"chr6"	95589311.75	6
"APOLD1"	"-0.143256461070234"	4.35935724459671	"DICER1"	"chr12"	12787103.3333333	12
"VPS8"	"0.143044776688903"	4.3479471466807	"DICER1"	"chr3"	184853912	3
"CEP55"	"0.142935819618928"	4.3420804258925	"DICER1"	"chr10"	93511337.3333333	10
"DNAJB12"	"-0.14289840732319"	4.34006696129561	"DICER1"	"chr10"	72352036.25	10
"GTF2A1"	"0.143796092542003"	4.33111926443301	"DICER1"	"chr14"	81196791.75	14
"MBNL1"	"0.142613046355224"	4.32472573609655	"DICER1"	"chr3"	152365231.25	3
"GTPBP3"	"-0.142511703619585"	4.31928445132079	"DICER1"	"chr19"	17338418	19
"PDCD2"	"0.142103797736366"	4.29742018343993	"DICER1"	"chr6"	170584350.25	6
"RABL3"	"0.141669454776786"	4.27420394679404	"DICER1"	"chr3"	120714119	3
"DDX24"	"0.140627315617773"	4.21877370064274	"DICER1"	"chr14"	94075099.5	14
"TMEFF2"	"-0.140009004818539"	4.18606876462618	"DICER1"	"chr2"	192160267.75	2
"UBE2M"	"-0.139748640897256"	4.17233766869933	"DICER1"	"chr19"	58557932.5	19
"PDE6B"	"0.139381741547739"	4.15302891205814	"DICER1"	"chr4"	659029.5	4
"FURIN"	"0.139231526428823"	4.14513733448458	"DICER1"	"chr15"	90877372	15
"SNAPC1"	"0.139134684183193"	4.14005395046398	"DICER1"	"chr14"	61764055.75	14
"MSS51"	"-0.138967281641131"	4.13127459671338	"DICER1"	"chr10"	73427099.25	10
"EZH2"	"0.139975895997854"	4.12982069239946	"DICER1"	"chr7"	148830579.75	7
"KEAP1"	"-0.138343345112212"	4.09863996900066	"DICER1"	"chr19"	10495910.5	19
"RPP40"	"0.138138816710368"	4.08797223146909	"DICER1"	"chr6"	5003933.75	6
"KRT78"	"-0.138134792953775"	4.08776250995961	"DICER1"	"chr12"	52848539.5	12
"ARHGEF12"	"0.137655629810897"	4.06282909230477	"DICER1"	"chr11"	120439740.5	11
"CENPH"	"-0.138533200464637"	4.05512809844041	"DICER1"	"chr5"	69190229	5
"KDM2A"	"0.138434471628753"	4.05004316148868	"DICER1"	"chr11"	67245012.5	11
"PYDC1"	"-0.13720077255204"	4.03923556824668	"DICER1"	"chr16"	31216931.5	16
"DOCK7"	"0.137137932878306"	4.03598181377208	"DICER1"	"chr1"	62662023.5	1
"CAND1"	"-0.137115109837224"	4.03480041263605	"DICER1"	"chr12"	67295961.5	12
"BRF1"	"0.138075030911006"	4.03155920201115	"DICER1"	"chr14"	105296987	14
"C1orf43"	"-0.136922708237993"	4.02484834354559	"DICER1"	"chr1"	154215485.75	1
"IFNG"	"-0.136619722988453"	4.0092027932717	"DICER1"	"chr12"	68158521	12
"TAF3"	"0.13761156228813"	4.00779212755946	"DICER1"	"chr10"	7929380.75	10
"ALG13"	"0.139168735832545"	4.00701703876081	"DICER1"	"chrX"	111681719.25	24
"EMC6"	"0.136257232694504"	3.9905271166544	"DICER1"	"chr17"	3669199.25	17
"WDR25"	"0.136171605274421"	3.98612232322262	"DICER1"	"chr14"	100381244.5	14
"CDC42SE1"	"-0.136144279195437"	3.98471717645964	"DICER1"	"chr1"	151055396.5	1
"COMMD2"	"0.136104063368678"	3.98264969941248	"DICER1"	"chr3"	149752326.75	3
"TUBE1"	"0.136052197159934"	3.97998412433658	"DICER1"	"chr6"	112082326.25	6
