"gene"	"gene_cor"	"DROSHA_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"DROSHA"	"1"	Inf	"DROSHA"	"chr5"	31526452.5	5
"DICER1"	"0.337923509533472"	22.3064554822975	"DROSHA"	"chr14"	95119894.75	14
"NUP155"	"0.289655850028325"	16.3560434028376	"DROSHA"	"chr5"	37334981.5	5
"ICE1"	"0.280109634378029"	15.3058376134232	"DROSHA"	"chr5"	5459359.25	5
"DGCR8"	"0.26506084173975"	13.7313425718712	"DROSHA"	"chr22"	20086586	22
"EXOC3"	"0.254759052626675"	12.7095286142432	"DROSHA"	"chr5"	448525.75	5
"XPO5"	"0.254727717015967"	12.7064889379454	"DROSHA"	"chr6"	43568439.25	6
"EIF2S2"	"0.226640862574565"	10.1453605359727	"DROSHA"	"chr20"	34101735.25	20
"CCT5"	"0.220686081844919"	9.64354826479457	"DROSHA"	"chr5"	10255766.25	5
"ZFR"	"0.213791218028611"	9.08013102433554	"DROSHA"	"chr5"	32415716	5
"MED1"	"0.209102560634607"	8.58810034894296	"DROSHA"	"chr17"	39425535.25	17
"ANKRD52"	"0.204214453463425"	8.32857384250519	"DROSHA"	"chr12"	56255045.25	12
"MED10"	"0.204702978557962"	8.25141009641112	"DROSHA"	"chr5"	6378447.5	5
"TAF12"	"0.19180931727899"	7.30715999015812	"DROSHA"	"chr1"	28621009.75	1
"IK"	"0.185787499792384"	6.98220718035834	"DROSHA"	"chr5"	140651832.25	5
"C5orf22"	"0.184535286165521"	6.89540993960512	"DROSHA"	"chr5"	31536348.5	5
"PES1"	"-0.183258862292902"	6.80754352718631	"DROSHA"	"chr22"	30587295.75	22
"WDR70"	"0.182292772022696"	6.74144793106246	"DROSHA"	"chr5"	37441970.5	5
"KIN"	"0.180806394815326"	6.64044206332087	"DROSHA"	"chr10"	7785651.5	10
"CCDC174"	"0.180287714962319"	6.60539076903794	"DROSHA"	"chr3"	14662948.75	3
"UTP6"	"-0.173501014464679"	6.1560316088063	"DROSHA"	"chr17"	31890910.75	17
"NIPBL"	"0.172839678863617"	6.03109769465398	"DROSHA"	"chr5"	36974299.75	5
"DDX54"	"-0.171571288052346"	5.95050571497482	"DROSHA"	"chr12"	113175775.75	12
"ATRX"	"0.171951625206445"	5.85267002557229	"DROSHA"	"chrX"	77686440.75	24
"RAD1"	"0.166440645463752"	5.70671432726173	"DROSHA"	"chr5"	34913303.75	5
"AGO2"	"0.166138154032196"	5.68787502710917	"DROSHA"	"chr8"	140559591.75	8
"TAF3"	"0.166784565279637"	5.65164329522368	"DROSHA"	"chr10"	7929380.75	10
"NFYA"	"0.166587989459692"	5.63954788318614	"DROSHA"	"chr6"	41084399.25	6
